,size,Diptera (D),Coleoptera (C),Lepidoptera (L),Hemiptera (H),Ephemeroptera(E),Hymenoptera (HY),Trichoptera (T),Psocodea(PS),Plecoptera (P),Megaloptera (M),Blattodea (B),Mecoptera (ME),Neuroptera(N),Orthoptera(O),Odonata(OD),Dermaptera (DE),Non-insect (*),Unidentifiable,notes,,totals by order,,total total
S3-3.0702.0824,L,,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0702.0845,S,1,,,,,,,,,,,,,,,,,,,,,,
S1-1.0702.0904,S,10,4,,2,,,,,,,,,,,,,,,,,,,
S1-1.0702.0904,M,,1,,,,,,,,,,,,,,,,,,,,,
S3-1.0702.0849,S,1,,,2,,,,,,,,,,,,,,,,,,,
S3-1.0702.0849,M,,1,,,,,,,,,,,,,,,,,,,,,
S3-1.0702.0849,L,,3,,,,,,,,,,,,,,,,,,,,,
S3-3.0702.0954,S,1,1,,1,,,,,,,,,,,,,,,,,,,
S3-3.0702.0954,M,,,,,,,1,,,,,,,,,,,,,,,,
S3-3.0702.0954,L,,,1,,,,,,,,,,,,,,,,,,,,
S3-2.0702.0944,S,4,2,,2,,,,,,,,,,,,,,,,,,,
S3-2.0702.0944,M,,1,3,,,,,,,,,,1,,,,,,,,,,
S3-1.0702.0904,S,9,2,,12,,,,,,,,,,,,,,,,,,,
S3-1.0702.0904,M,,4,,,,,,,,,,,,,,,,,,,,,
Z2-1.0630.0949,S,3,1,,,,,,,,,,,,,,,,,,,,,
Z2-1.0630.0949,M,1,1,4,,,1,,,,,,,,,,,,,,,,,
Z2-1.0630.0949,L,,,5,,,,,,,,,,,,,,,,,,,,
Z2-1.0630.0949,G,,,1,,,,,,,,,,,,,,,,,,,,
Z1-2.0630.0929,S,7,1,,1,,,1,,,,,,,,,,,,,,,,
Z1-2.0630.0929,M,1,1,,,,,6,,,,,,,,,,,,,,,,
Z2-2.0630.0914,S,8,,,,,,,,,,,,,,,,,,,,,,
Z2-2.0630.0914,M,,2,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0630.0844,E,,,,,,,,,,,,,,,,,,,,,,,
Z3-3.0630.0909,S,9,11,1,1,,,,,,,,,,,,,,,,,,,
Z3-3.0630.0909,M,,,,1,,,,,,,,,,,,,,,,,,,
Z3-3.0630.0909,L,,1,1,,,,,,,,,,,,,,,,,,,,
Z3-1.0630.0919,S,13,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0630.0919,L,,1,1,,,,,,,,,,,,,,,,,,,,
Z3-1.0630.0849,S,1,,,1,,,,,,,,,,,,,,,,,,,
Z3-1.0630.0849,M,1,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0630.0834,S,1,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0630.0904,S,1,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0630.0904,M,1,2,,,,,,,,,,,,,,,,,,,,,
Z3-3.0630.0824,E,,,,,,,,,,,,,,,,,,,,,,,
Z1-1.0630.0934,S,10,1,,3,,,2,,,,,,,,,,,,,,,,
Z1-1.0630.0934,M,,2,,,,,,,,,,,,,,,,,,,,,
Z1-3.0630.0924,S,26,1,,1,,,,,,,,,,,,,,,,,,,
Z1-3.0630.0924,M,1,2,2,,,,13,,,,,,,,,,,,,,,,
Z1-3.0630.0839,S,2,2,,,,,,,,,,,,,,,,,,,,,
Z1-3.0630.0854,S,4,1,,3,,,,,,,,,,,,,,,,,,,
S1-2.0702.0829,S,2,3,,,,,,,,,,,,,,,,,,,,,
S3-2.0702.1014,S,4,,,13,,1,,,,,,,,,,,,,,,,,
S3-2.0702.1014,M,,,1,,,,,,,,,,,,,,,,,,,,
S1-3.0702.0824,S,,2,,,,,,,,,,,,,,,,,Bag had multiple holes,,,,
S3-3.0702.0939,S,2,1,,1,,,,,,,,,,,,,,,,,,,
S3-3.0702.0939,M,,,1,,,,,,,,,,,,,,,,,,,,
S3-2.0702.0959,S,1,,,,,,,,,,,,,,,,,,,,,,
S3-2.0702.0959,M,,,1,,,,,,,,,,,,,,,,,,,,
S3-1.0702.0949,S,3,,,2,,,,,,,,,,,,,,,,,,,
S3-1.0702.0949,M,1,,,,,,,,,,,,,,,,,,,,,,
S3-2.0702.0844,S,,1,,,,,,,,,,,,,,,,,,,,,
S3-2.0702.0844,M,,9,,,,,,,,,,,,,,,,,,,,,
S3-1.0702.0834,M,,4,,,,,,,,,,,,,,,,,,,,,
S3-2.0702.0844,S,3,,1,,,,,,,,,,,,,,,,,,,,
S3-2.0702.0844,L,,,1,,,,,,,,,,,,,,,,,,,,
S1-2.0702.0844,S,,1,,,,,,,,,,,,,,,1,,arachnid,,,,
S1-2.0702.0844,M,,,1,,,,,,,,,,,,,,,,,,,,
S2-3.0702.1009,S,11,5,1,1,,,,,,,,,,,,,,,,,,,
S2-3.0702.1009,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0702.0944,S,8,4,,2,,,,,,,,,,,,,,,,,,,
S2-2.0702.0944,M,1,1,,,,,,,,,,,,,,,,,,,,,
S1-1.0702.0834,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0702.1004,S,2,4,1,,,,,,,,,,,,,,,,,,,,
S2-1.0702.1004,M,,4,2,,,,,,,,,,,,,,,,,,,,
S2-1.0702.1004,L,,,2,,,,,,,,,,,,,,,,,,,,
S1-3.0702.0924,S,6,1,,,,,,2,,,,,,,,,,,,,,,
S1-3.0702.0924,M,,1,1,,,,,,,,,,,,,,,,,,,,
S1-3.0702.0924,L,,3,,,,,1,,,,,,,,,,,,,,,,
S1-2.0702.0914,S,5,5,,,,,,,,,,,,,,,,,,,,,
S1-2.0702.0914,M,1,1,1,,,,,,,,,,,,,,,,,,,,
S2-3.0702.0939,S,3,5,1,,,1,1,,,,,,,,,,,,,,,,
S2-3.0702.0939,M,,1,3,2,,,,,,,,,,,,,,,,,,,
S2-3.0702.0939,L,,,1,,,,,,,,,,,,,,,,,,,,
S1-3.0702.0839,S,2,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0702.0939,S,8,3,2,,,2,,4,,,,,,,,,,,,,,,
S1-3.0702.0939,M,,2,,1,,,,,,,,,,,,,,,,,,,
S2-1.0702.0934,S,1,7,1,,,,,,,,,,,,,,,,,,,,
S2-1.0702.0934,M,,3,,,,,,,,,,,,,,,,,,,,,
S2-1.0702.0934,L,,,3,,,,,,,,,,,,,,,,,,,,
S2-2.0702.0844,S,2,1,,1,,,,,,,,,,,,,,,,,,,
S2-2.0702.0844,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0702.0909,S,6,5,,,,,,,,,,,,,,,,,,,,,
S2-3.0702.0909,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0702.0954,S,2,5,,4,,,1,,,,,,,,,,,,,,,,
S2-3.0702.0954,M,,2,2,,,,,,,,,,,,,,,,,,,,
S2-2.0702.0929,S,8,4,1,4,,,,,,,,,,,,,,,,,,,
S2-2.0702.0929,M,,,1,1,,,,,,,,,,,,,,,,,,,
S2-2.0702.0929,L,,1,1,,,,,,,,,,,,,,,,,,,,
S3-3.0702.0924,S,1,,,1,,,,,,,,,,,,,,,,,,,
S3-3.0702.0924,M,1,,,,,,,,,,,,,,,,,,,,,,
S2-1.0702.0849,S,3,3,,1,,,,,,,,,,,,,,,,,,,
S1-1.0702.0849,S,1,,,,,,,,,,,,,,,,,,,,,,
S1-1.0702.0849,M,1,,,,,,,,,,,,,,,,,,,,,,
S1-1.0702.0949,S,8,3,,,,1,,1,,,,,,,,,,,,,,,
S1-1.0702.0949,M,,1,2,,,2,,,,,,,,,,,,,,,,,
S3-3.0702.0909,S,,2,1,,,,,,,,,,,,,,,,,,,,
S3-3.0702.0909,L,,1,,,,,,,,,,,,,,,,,,,,,
S3-2.0702.0829,M,,2,,,,,,,,,,,,,,,,,,,,,
S3-3.0702.1009,S,5,2,,,,,,,,,,,,,,,,,,,,,
S3-3.0702.1009,M,2,,1,,,,,,,,,,,,,,,,,,,,
S3-3.0702.1009,L,,,1,,,,,,,,,,,,,,,,,,,,
S2-3.0702.0924,S,9,5,,,,,3,,,,,,,,,,,,,,,,
S2-3.0702.0924,M,,3,,1,,,,,,,,,,,,,,,,,,,
S2-2.0702.1014,S,8,1,,3,,3,,,,,,,,,,,,,,,,,
S2-2.0702.1014,M,,7,3,,,,,,,,,,,,,,,,,,,,
S3-1.0702.1019,S,5,1,,1,,1,,,,,,,,,,,,,,,,,
S3-1.0702.1019,M,,,1,,,,,,,,,,,,,,,,,,,,
S3-1.0702.1004,S,8,1,,1,,,,,,,,,,,,,,,,,,,
S1-3.0702.1009,S,17,2,,1,,,,1,,,,,,,,,,,,,,,
S1-3.0702.1009,M,,,1,,,,,,,,,,,,,,,,,,,,
S1-3.0702.1009,L,,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0702.0909,S,8,1,,,,2,,,,,,,,,,,,,,,,,
S1-3.0702.0909,M,,3,,,,,,,,,,,,,,,,,,,,,
S1-3.0702.0909,L,,1,,,,,,,,,,,,,,,,,,,,,
S1-2.0702.0859,S,4,1,,,,,,,,,,,,,,,,,,,,,
S3-1.0702.0919,S,8,2,,10,,,,,,,,,,,,,,,,,,,
S3-1.0702.0919,M,,1,1,,,,,,,,,,,,,,,,,,,,
S3-3.0702.0854,S,2,,,1,,,,,,,,,,,,,,,,,,,
S3-3.0702.0854,M,,7,,,,,,,,,,,,,,,,,,,,,
W3-3.0627.0910,S,101,,,,,,,,,,,,,,,,,,,,,,
W3-3.0627.0910,M,1,3,,,,1,,,,,,,,,,,,,,,,,
W3-3.0627.0910,L,,,1,,,,,,,,,,,,,,,,,,,,
W3-3.0627.0910,G,,,2,,,,,,,,,,,,,,,,,,,,
S2-2.0702.0959,S,6,3,,,,1,1,,,,,,,,,,,,,,,,
S2-2.0702.0959,M,,2,,,,,,,,,,,,,,,,,,,,,
S2-2.0702.0959,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0702.0839,S,1,1,,1,,,,,,,,,,,,,,,,,,,
S2-3.0702.0839,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0702.0914,S,15,6,,1,,3,2,,,,,,,,,,,,,,,,
S2-2.0702.0914,M,1,5,,1,,,,,,,,,,,,,,,,,,,
S2-2.0702.0914,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0702.0914,G,,,,,,,,,,1,,,,,,,,,,,,,
S3-2.0702.0914,S,3,2,1,1,,,,1,,,,,,,,,,,,,,,
S3-2.0702.0914,M,,,1,,,,,,,,,,,,,,,,,,,,
S3-2.0702.0914,L,,1,,,,,,,,,,,,,,,,,,,,,
S1-1.0702.1019,S,17,8,1,,,,,,,,,,,,,,,,,,,,
S1-1.0702.1019,M,2,3,1,,,,,,,,,,,,,,,,,,,,
S1-1.0702.1019,G,,,,,,1,,,,,,,,,,,,,,,,,
S2-1.0702.1019,S,6,4,,1,,,,,,,,,,,,,,,,,,,
S2-1.0702.1019,M,,1,1,,,,,,,,,,,,,,,,,,,,
S2-1.0702.1019,L,,,2,,,,,,,,,,,,,,,,,,,,
S2-3.0702.0854,S,9,4,,1,,,1,,,,,,,,,,,,,,,,
S2-3.0702.0854,M,,,2,1,,,,,,,,,,,,,,,,,,,
S2-2.0702.0829,S,,1,,1,,,,,,,,,,,,,,,,,,,
S2-1.0702.0834,S,,6,,,,,,,,,,,,,,,,,,,,,
S2-1.0702.0919,S,4,3,,,,1,,,,,,,,,,,,,,,,,
S2-1.0702.0919,M,,1,2,,,,,,,,,,,,,,,,,,,,
S2-1.0702.0919,L,1,,1,,,,,,,,,,,,,,,,,,,,
S2-2.0702.0859,S,12,2,1,1,,,,,,,,,,,,,,,,,,,
S2-2.0702.0859,M,,2,,1,,,1,,,,,,,,,,,,,,,,
S2-2.0702.0859,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0938,S,4,1,,4,,2,,,,,,,,,,,,,,,,,
Z2-3.0707.0938,M,,2,,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0938,L,,4,,,,,,,,,,,,,,,,,,,,,
Z3-1.0707.0948,S,9,5,,,,5,,,,,,,,,,,,,,,,,
Z3-1.0707.0948,M,,2,6,,,3,,,,,,,,,,,,,,,,,
Z2-2.0707.1013,S,10,2,1,2,,1,,,,,,,,,,,,,,,,,
Z2-2.0707.1013,M,3,3,2,,,,,,,,,,,,,,,,,,,,
Z2-2.0707.1013,L,,1,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0707.0928,S,2,2,,8,,2,,,,,,,,,,,,,,,,,
Z2-2.0707.0928,M,,1,3,,,,,,,,,,,,,,,,,,,,
Z2-1.0707.1018,S,8,,1,4,,3,,,,,,,,,,,,,,,,,
Z2-1.0707.1018,M,,1,1,1,,1,,,,,,,,,,,,,,,,,
Z2-1.0707.1018,L,,,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0707.0953,S,19,2,5,2,,,,2,,,,,,,,,1,,Arachnid,,,,
Z3-3.0707.0953,M,,5,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0707.0953,L,,,1,,,,,,,,,,,,,,,,,,,,
Z3-1.0707.1003,S,12,2,3,2,,2,,,,,,,,,,,,,,,,,
Z3-1.0707.1003,M,,3,2,,,1,,,,,,,,,,,,,,,,,
Z3-1.0707.1003,L,,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0707.0933,S,11,6,,3,,,,,,,,,,,,,,,,,,,
Z3-1.0707.0933,M,,2,2,,,,,,,,,,,,,,,,,,,,
Z3-1.0707.0933,L,,,1,,,,,,,,1,,,,,,,,,,,,
Z3-2.0707.1013,S,14,,,2,,2,,1,,,,,,,,,,,,,,,
Z3-2.0707.1013,M,,,2,,,,,,,,,,,,,,,,,,,,
Z3-2.0707.1013,L,,1,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0707.1008,S,16,4,3,3,,1,,1,,,,,,,,,,,,,,,
Z3-3.0707.1008,M,1,4,4,,,1,,,,,,,,,,,,,,,,,
Z3-3.0707.1008,L,,,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0707.0958,S,12,3,1,2,,1,,,,,,,,,,,,,,,,,
Z3-2.0707.0958,M,,1,2,,,1,,,,,,,,,,,,,,,,,
Z2-1.0707.0848,S,,13,,5,,,,,,,,,,,,,,,,,,,
Z2-1.0707.0848,M,,5,,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.1008,S,5,2,1,1,,1,,,,,,,,,,,,,,,,,
Z2-3.0707.1008,M,,1,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.1008,L,,,,,,1,,,,,,,,,,,,,,,,,
Z2-3.0707.1008,G,,,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0707.1003,S,3,3,,4,,2,,,,,,,,,,,,,,,,,
Z2-1.0707.1003,M,,1,4,,,1,,,,,,,,,,,,,,,,,
Z2-1.0707.1003,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0707.0958,S,5,1,,12,,1,,,,,,,,,,,,,,,,,
Z2-2.0707.0958,M,,6,5,,,,,,,,,,,,,,,,,,,,
Z2-2.0707.0958,L,,1,3,,,,,,,,,,,,,,,,,,,,
Z2-2.0707.0943,S,7,1,3,6,,3,,,,,,,,,,,,,,,,,
Z2-2.0707.0943,M,,2,1,,,2,,,,,,,,,,,,,,,,,
Z2-2.0707.0943,L,,,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0707.0948,S,3,10,,10,,2,,,,,,,,,,,,,,,,,
Z2-1.0707.0948,M,,,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0953,S,5,,2,5,,5,,,,,,,,,,,,,,,,,
Z2-3.0707.0953,M,,3,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0953,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0953,G,,1,,,,,,,,,,,,,,,,,,,,,
Z2-1.0707.0933,S,4,3,,12,,2,,,,,,,,,,,,,,,,,
Z2-1.0707.0933,M,,2,,,,,,,,,,,,,,,,,,,,,
Z1-3.0707.0838,S,1,1,,,,,,,,,,,,,,,,,,,,,
Z1-3.0707.0838,M,,1,,,,,,,,,,,,,,,,,,,,,
Z1-1.0707.0848,S,17,29,,2,,,1,,,,,,,,,,,,,,,,
Z1-1.0707.0848,M,,1,,,,,,,,,,,,,,,,,,,,,
Z1-2.0707.0828,S,4,1,,,,,,,,,,,,,,,,,,,,,
Z1-3.0707.0823,S,,3,,,,,,,,,,,,,,,,,,,,,
Z1-2.0707.0843,S,3,4,,,,,,,,,,,,,,,,,,,,,
Z2-2.0707.0913,S,8,2,,15,,,,,,,,,,,,,,,,,,,
Z2-2.0707.0913,M,,3,3,,,,,1,,,,,,,,,,,,,,,
Z2-2.0707.0913,L,,2,,,,,,,,,,,,,,,,,,,,,
Z1-3.0707.0853,S,1,4,,,1,,,,,,,,,,,,,,,,,,
Z1-3.0707.0853,M,,2,,,,,,,,,,,,,,,,,,,,,
Z2-2.0707.0828,S,1,,,,,1,,,,,,,,,,,,,,,,,
Z2-1.0707.0918,S,2,18,,9,,,,,,,,,,,,,,,,,,,
Z2-1.0707.0918,M,,1,,,,1,,,,,,,,,,,,,,,,,
Z2-1.0707.0918,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0823,S,1,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0823,M,,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0853,S,4,3,,6,,1,,,,,,,,,,,,,,,,,
Z2-3.0707.0853,M,,4,,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0853,L,,1,,,,,,,,,,,,,,,,,,,,,
Z1-1.0707.0918,S,5,142,,4,5,,2,,,,,,,,,,,,,,,,
Z1-1.0707.0918,M,,10,,,,,,,,,,,,,,,,,,,,,
Z1-1.0707.0918,L,1,,,,,,,,,,,,,,,,,,,,,,
Z1-2.0707.0958,S,12,17,,,,3,,,,,,,,,,,,,,,,,
Z1-2.0707.0958,M,,,,1,,,,,,,,,,,,,,,,,,,
Z1-1.0707.0948,S,21,39,,2,,,,3,,,,,,,,,,,,,,,
Z1-1.0707.0948,M,,4,,,,,,,,,,,,,,,,,,,,,
Z1-3.0707.0923,S,10,11,1,,,,2,,,,,,,,,,,,,,,,
Z1-3.0707.0923,M,,2,,,,1,,,,,1,,,,,,,,,,,,
Z1-3.0707.0923,L,,1,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0707.0858,S,7,4,,3,,,,,,,,,,,,,,,,,,,
Z2-2.0707.0858,M,,9,2,,,1,,,,,,,,,,,,,,,,,
Z2-2.0707.0858,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0923,S,5,3,,8,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0923,M,,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0923,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-1.0707.0833,S,1,3,,,,,,,,,,,,,,,,,,,,,
Z2-1.0707.0833,M,,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0838,S,1,2,,1,,,,,,,,,,,,,,,,,,,
Z2-2.0707.0843,S,3,3,,2,,,,,,,,,,,,,,,,,,,
Z2-2.0707.0843,M,,1,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0908,S,2,,,8,,,,,,,,,,,,,,,,,,,
Z2-3.0707.0908,M,,4,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0707.0903,S,,13,,11,,,,,,,,,,,,,,,,,,,
Z2-1.0707.0903,M,,4,,,,,,,,,,,,,,,,,,,,,
Z2-1.0707.0903,L,,1,,,,,,,,,,,,,,,,,,,,,
Z3-3.0707.0923,S,6,6,,4,,4,,,,,,,,,,,,,,,,,
Z3-3.0707.0923,M,,5,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0707.0853,S,5,3,,2,,,,,,,,,,,,,,,,,,,
Z3-3.0707.0853,M,,2,,,,,,,,,,,,,,,,,,,,,
Z3-2.0707.0943,S,9,3,3,4,,1,,,,,,,,,,,,,,,,,
Z3-2.0707.0943,M,,3,4,,,,,,,,,,,,,,,,,,,,
Z3-2.0707.0943,G,,1,,,,,,,,,,,,,,,,,,,,,
Z1-2.0707.0858,S,2,2,1,1,1,,,,,,,,,,,,,,,,,,
Z3-1.0707.0903,S,3,4,,3,,1,,,,,,,,,,,,,,,,,
Z3-1.0707.0903,M,1,2,,,,,,,,,,,,,,,,,,,,,
Z3-1.0707.0903,L,,2,,,,,,,,,,,,,,,,,,,,,
Z3-2.0707.0858,S,7,2,1,,,,,,,,,,,,,,,,,,,,
Z1-1.0707.1003,S,24,39,1,1,,,1,20,,,,,,,,,,,,,,,
Z1-1.0707.1003,M,2,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0707.0848,S,,3,,1,,,,,,,,,,,,,,,,,,,
Z3-1.0707.0848,M,,1,,,,,,,,,,,,,,,,,,,,,
Z1-3.0707.0953,S,13,2,,,2,,,,,,,,,,,,,,,,,,
Z1-3.0707.0953,M,1,2,,,1,,,,,,,,,,,,,,,,,,
Z1-3.0707.0953,L,,1,,,,,,,,,,,,,,,,,,,,,
Z3-3.0707.0823,S,,1,,,1,,,,,,,,,,,,,,,,,,
Z1-1.0707.0903,S,6,128,,,5,1,14,13,,,,,,,,,1,,arachnid,,,,
Z1-1.0707.0903,M,1,2,,1,,,,,,,,,,,,,,,,,,,
Z1-3.0707.0908,S,7,5,,1,,1,1,,,,,,,,,,,,,,,,
Z1-2.0707.0943,S,14,8,,,,2,1,,,,,,,,,,,,,,,,
Z1-2.0707.0913,S,8,12,,3,,1,1,,,,,,,,,,,,,,,,
Z1-2.0707.0913,M,1,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0707.0913,S,3,1,,3,,1,,,,,,,,,,,,,,,,,
Z3-2.0707.0913,M,,,,,2,,,,,,,,,,,,,,,,,,
Z3-2.0707.0913,L,,1,,,,,,,,,,,,,,,,,,,,,
Z1-3.0707.1008,S,3,5,,2,1,3,3,,,,,,,,,,,,,,,,
Z1-3.0707.1008,M,,2,1,,2,,,,,,,,,,,,,,,,,,
Z1-3.0707.1008,L,,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0707.0928,S,11,1,,3,,,,1,,,,,,,,,,,,,,,
Z3-2.0707.0928,M,,1,1,,,,,,,,,,,,,,,,,,,,
Z1-2.0707.1013,S,18,11,2,1,,3,,,,,,,,,,,2,,,,,,
Z1-2.0707.1013,M,1,2,,,,,,,,,,,,,,,,,,,,,
Z1-3.0707.0938,S,10,4,,,1,1,2,1,,,,,,,,,,,,,,,
Z1-3.0707.0938,M,,,1,,,,,,,,,,,,,,,,,,,,
Z1-3.0707.0938,G,,,,,,,,,,,,,1,,,,,,,,,,
Z3-3.0707.0838,S,5,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0707.0828,S,,,,,,1,,,,,,,,,,,,,,,,,
Z3-2.0707.0828,M,,2,,,,,,,,,,,,,,,,,,,,,
Z1-2.0707.0928,S,21,13,1,,1,2,2,,,,,,,,,,,,,,,,
Z1-1.0707.0833,S,4,13,,1,3,,,,,,,,,,,,,,,,,,
Z1-1.0707.0933,S,24,18,,,1,,2,,,,,,,,,,1,,,,,,
Z1-1.0707.0933,M,,1,,,,,1,,,,,,,,,,,,,,,,
Z3-3.0707.0938,S,4,7,,2,,,,2,,,,,,,,,,,,,,,
Z3-3.0707.0938,M,2,1,3,,,,,,,,,,,,,,,,,,,,
Z3-2.0707.0843,S,4,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0707.0843,M,,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0707.0843,L,,1,,,,,,,,,,,,,,,,,,,,,
Z1-1.0707.1018,S,35,44,,1,,,3,23,,,,,,,,,,,,,,,
Z1-1.0707.1018,M,4,2,,,,,1,,,,,,,,,,,,,,,,
Z3-1.0707.0833,M,,1,,,,,,,,,,,,,,,,,,,,,
Z3-3.0707.0908,S,13,7,,1,,,,,,,,,,,,,,,,,,,
Z3-3.0707.0908,M,,1,3,,,,,,,,,,,,,,,,,,,,
W1-3.0711.0851,S,3,2,,2,,,,,,,,,,,,,,,,,,,
W1-3.0711.0851,L,,2,,,,,,,,,,,,,,,,,,,,,
W1-2.0711.0856,S,3,4,,1,,1,,,,,,,,,,,,,,,,,
W1-2.0711.0856,L,,2,,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0901,S,3,1,,1,,,,,,,,,,,,,,,,,,,
W1-1.0711.0901,M,,1,1,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0901,L,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0913,S,4,1,2,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0913,M,,,1,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0913,L,,,1,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0913,G,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0846,S,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0846,M,,2,,,,,,,,,,,,,,,,,,,,,
W1-2.0711.0911,S,7,7,,,,,,,,,,,,,,,,,,,,,
W1-2.0711.0911,M,1,4,3,,,,,,,,,,,,,,,,,,,,
W1-2.0711.0911,L,,2,,,,,,,,,,,,,,,,,,,,,
W1-3.0711.0951,S,5,3,,2,,,,,,,,,,,,,,,,,,,
W1-3.0711.0951,M,,,2,,,,,,,,,,,,,,,,,,,,
W1-3.0711.0951,L,,1,,,,,,,,,,,,,,,,,,,,,
W1-3.0711.0821,S,,1,,,,,,,,,,,,,,,,,,,,,
W1-2.0711.0956,S,3,2,,,,,,,,,,,,,,,,,,,,,
W1-2.0711.0926,S,9,4,,3,,2,,,,,,,,,,,,,,,,,
W1-2.0711.0926,M,,1,1,2,,,,,,,,,,,,,,,,,,,
W1-2.0711.0926,L,,,1,,,,,,,,,,,,,,,,,,,,
W1-3.0711.0921,S,13,4,,1,,,,,,,,,,,,,,,,,,,
W1-3.0711.0921,M,2,2,1,,,,,,,,,,,,,,,,,,,,
W1-3.0711.0921,L,,1,2,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0916,S,2,,,,,,,,,,,,,,,,,,,,,,
W1-1.0711.0916,M,2,1,1,,,,,,,,,,,,,,,,,,,,
W1-3.0711.0936,S,5,4,1,,,,1,,,,,,,,,,,,,,,,
W1-3.0711.0936,M,,1,,,,,,,,,,,,,,,,,,,,,
W1-3.0711.0936,L,,1,,,,,,,,,,,,,,,,,,,,,
W3-3.0711.0906,S,,1,,,,,,,,,,,,,,,,,,,,,
W3-3.0711.0906,M,,,,,,,,,,,,,,1,,,,,,,,,
W1-3.0711.0906,S,8,1,,1,,,,,,,,,,,,,,,,,,,
W1-3.0711.0906,M,2,2,,,,,,,,,,,,,,,,,,,,,
W1-2.0711.0826,S,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0711.1016,S,2,1,,1,,,,,,,,,,,,,,,,,,,
W1-1.0711.1016,M,,2,,,,1,,,,,,,,,,,,,,,,,
W1-1.0711.1016,L,,,1,,,,,,,,,,,,,,,,,,,,
W3-1.0711.0901,S,1,,,1,,,,,,,,,,,,,1,arachnid,,,,,
W3-1.0711.0901,M,,,,,,,,,,,,,,,,,1,arachnid,,,,,
W3-1.0711.0946,S,1,,,,,,,,,,,,,,,,,,,,,,
W3-1.0711.0946,M,,4,1,,,,,,,,,,,,,,,,,,,,
W3-1.0711.0846,S,1,1,,3,,,,,,,,,,,,,,,,,,,
W3-1.0711.0846,G,,1,,,,,,,,,,,,,,,,,,,,,
W3-2.0711.0911,S,1,1,,2,,,,,,,,,,,,,,,,,,,
W3-2.0711.0911,M,2,2,,,,,,,,,,,,,,,,,,,,,
